Length(mm),B.n(Tesla)
1.41027352e+001,-3.00800201e-002
1.41214143e+001,-2.99632804e-002
1.41400934e+001,-2.98465408e-002
1.41587725e+001,-2.97298011e-002
1.41774516e+001,-2.96130614e-002
1.41961308e+001,-2.94963218e-002
1.42148099e+001,-2.93795821e-002
1.42334890e+001,-2.92628424e-002
1.42521681e+001,-2.91461028e-002
1.42708472e+001,-2.90293631e-002
1.42895264e+001,-2.89126234e-002
1.43082055e+001,-2.87958838e-002
1.43268846e+001,-2.86791441e-002
1.43455637e+001,-2.85624044e-002
1.43642428e+001,-2.84456647e-002
1.43829219e+001,-2.83289251e-002
1.44016011e+001,-2.82121854e-002
1.44202802e+001,-2.80954457e-002
1.44389593e+001,-2.79787061e-002
1.44576384e+001,-2.78619664e-002
1.44763175e+001,-2.77452267e-002
1.44949967e+001,-2.76284871e-002
1.45136758e+001,-2.75117474e-002
1.45323549e+001,-2.73950077e-002
1.45510340e+001,-2.72782681e-002
1.45697131e+001,-2.71615284e-002
1.45883923e+001,-2.70447887e-002
1.46070714e+001,-2.69280491e-002
1.46257505e+001,-2.68113094e-002
1.46444296e+001,-2.66945697e-002
1.46631087e+001,-2.65778301e-002
1.46817879e+001,-2.64610904e-002
1.47004670e+001,-2.63443507e-002
1.47191461e+001,-2.62276111e-002
1.47378252e+001,-2.61108714e-002
1.47565043e+001,-2.59941317e-002
1.47751835e+001,-2.58773920e-002
1.47938626e+001,-2.57606524e-002
1.48125417e+001,-2.56439127e-002
1.48312208e+001,-2.55271730e-002
1.48498999e+001,-2.54104334e-002
1.48685791e+001,-2.52936937e-002
1.48872582e+001,-2.51769540e-002
1.49059373e+001,-2.50602144e-002
1.49246164e+001,-2.49205111e-002
1.49432955e+001,-2.47630226e-002
1.49619746e+001,-2.46055341e-002
1.49806538e+001,-2.44670802e-002
1.49993329e+001,-2.43570070e-002
1.50180120e+001,-2.42512007e-002
1.50366911e+001,-2.41762975e-002
1.50553702e+001,-2.41013944e-002
1.50740494e+001,-2.40264912e-002
1.50927285e+001,-2.39515881e-002
1.51114076e+001,-2.38766849e-002
1.51300867e+001,-2.38017818e-002
1.51487658e+001,-2.37268787e-002
1.51674450e+001,-2.36519755e-002
1.51861241e+001,-2.35770724e-002
1.52048032e+001,-2.35021692e-002
1.52234823e+001,-2.34272661e-002
1.52421614e+001,-2.33523629e-002
1.52608406e+001,-2.32774598e-002
1.52795197e+001,-2.32025566e-002
1.52981988e+001,-2.31276535e-002
1.53168779e+001,-2.30527503e-002
1.53355570e+001,-2.29778472e-002
1.53542362e+001,-2.29029440e-002
1.53729153e+001,-2.28280409e-002
1.53915944e+001,-2.27531378e-002
1.54102735e+001,-2.26782346e-002
1.54289526e+001,-2.26033315e-002
1.54476318e+001,-2.25284283e-002
1.54663109e+001,-2.24535252e-002
1.54849900e+001,-2.23786220e-002
1.55036691e+001,-2.23037189e-002
1.55223482e+001,-2.22288157e-002
1.55410274e+001,-2.21539126e-002
1.55597065e+001,-2.20790094e-002
1.55783856e+001,-2.20041063e-002
1.55970647e+001,-2.19292031e-002
1.56157438e+001,-2.18543000e-002
1.56344229e+001,-2.17793969e-002
1.56531021e+001,-2.17044937e-002
1.56717812e+001,-2.16295906e-002
1.56904603e+001,-2.15546874e-002
1.57091394e+001,-2.14797843e-002
1.57278185e+001,-2.14048811e-002
1.57464977e+001,-2.13298616e-002
1.57651768e+001,-2.12538017e-002
1.57838559e+001,-2.11777418e-002
1.58025350e+001,-2.11016818e-002
1.58212141e+001,-2.10256219e-002
1.58398933e+001,-2.09495620e-002
1.58585724e+001,-2.08735021e-002
1.58772515e+001,-2.07974421e-002
1.58959306e+001,-2.07213822e-002
1.59146097e+001,-2.06453223e-002
1.59332889e+001,-2.05692623e-002
1.59519680e+001,-2.04932024e-002
1.59706471e+001,-2.04171425e-002
1.59893262e+001,-2.03410826e-002
1.60080053e+001,-2.02650226e-002
1.60266845e+001,-2.01889627e-002
1.60453636e+001,-2.01129028e-002
1.60640427e+001,-2.00368429e-002
1.60827218e+001,-1.99607829e-002
1.61014009e+001,-1.98847230e-002
1.61200801e+001,-1.98086631e-002
1.61387592e+001,-1.97326032e-002
1.61574383e+001,-1.96565432e-002
1.61761174e+001,-1.95804833e-002
1.61947965e+001,-1.95122752e-002
1.62134757e+001,-1.94633498e-002
1.62321548e+001,-1.94048982e-002
1.62508339e+001,-1.93377499e-002
1.62695130e+001,-1.92706016e-002
1.62881921e+001,-1.92034532e-002
1.63068712e+001,-1.91363049e-002
1.63255504e+001,-1.90691566e-002
1.63442295e+001,-1.90020083e-002
1.63629086e+001,-1.89348599e-002
1.63815877e+001,-1.88677116e-002
1.64002668e+001,-1.88005633e-002
1.64189460e+001,-1.87334150e-002
1.64376251e+001,-1.86662667e-002
1.64563042e+001,-1.85991183e-002
1.64749833e+001,-1.85319700e-002
1.64936624e+001,-1.84648217e-002
1.65123416e+001,-1.83976734e-002
1.65310207e+001,-1.83305250e-002
1.65496998e+001,-1.82633767e-002
1.65683789e+001,-1.81962284e-002
1.65870580e+001,-1.81290801e-002
1.66057372e+001,-1.80619317e-002
1.66244163e+001,-1.79947834e-002
1.66430954e+001,-1.79276351e-002
1.66617745e+001,-1.78604868e-002
1.66804536e+001,-1.77933384e-002
1.66991328e+001,-1.77261901e-002
1.67178119e+001,-1.76590418e-002
1.67364910e+001,-1.75918935e-002
1.67551701e+001,-1.75247451e-002
1.67738492e+001,-1.74575968e-002
1.67925284e+001,-1.73904485e-002
1.68112075e+001,-1.73233002e-002
1.68298866e+001,-1.72561518e-002
1.68485657e+001,-1.71890035e-002
1.68672448e+001,-1.71218552e-002
1.68859239e+001,-1.70546398e-002
1.69046031e+001,-1.69874176e-002
1.69232822e+001,-1.69201954e-002
1.69419613e+001,-1.68529733e-002
1.69606404e+001,-1.67857511e-002
1.69793195e+001,-1.67185289e-002
1.69979987e+001,-1.66513068e-002
1.70166778e+001,-1.65840846e-002
1.70353569e+001,-1.65168625e-002
1.70540360e+001,-1.64496403e-002
1.70727151e+001,-1.63824181e-002
1.70913943e+001,-1.63151960e-002
1.71100734e+001,-1.62479738e-002
1.71287525e+001,-1.61807517e-002
1.71474316e+001,-1.61135295e-002
1.71661107e+001,-1.60463073e-002
1.71847899e+001,-1.59790852e-002
1.72034690e+001,-1.59118630e-002
1.72221481e+001,-1.58446408e-002
1.72408272e+001,-1.57774187e-002
1.72595063e+001,-1.57101965e-002
1.72781855e+001,-1.56429744e-002
1.72968646e+001,-1.55757522e-002
1.73155437e+001,-1.54998668e-002
1.73342228e+001,-1.54487483e-002
1.73529019e+001,-1.54008584e-002
1.73715811e+001,-1.53536388e-002
1.73902602e+001,-1.53064193e-002
1.74089393e+001,-1.52591997e-002
1.74276184e+001,-1.52119802e-002
1.74462975e+001,-1.51647606e-002
1.74649767e+001,-1.51175410e-002
1.74836558e+001,-1.50703215e-002
1.75023349e+001,-1.50231019e-002
1.75210140e+001,-1.49758824e-002
1.75396931e+001,-1.49286628e-002
1.75583722e+001,-1.48814432e-002
1.75770514e+001,-1.48342237e-002
1.75957305e+001,-1.47870041e-002
1.76144096e+001,-1.47397846e-002
1.76330887e+001,-1.46925650e-002
1.76517678e+001,-1.46453455e-002
1.76704470e+001,-1.45981259e-002
1.76891261e+001,-1.45509063e-002
1.77078052e+001,-1.45036868e-002
1.77264843e+001,-1.44564672e-002
1.77451634e+001,-1.44092477e-002
1.77638426e+001,-1.43620281e-002
1.77825217e+001,-1.43148086e-002
1.78012008e+001,-1.42675890e-002
1.78198799e+001,-1.42203694e-002
1.78385590e+001,-1.41731499e-002
1.78572382e+001,-1.41259303e-002
1.78759173e+001,-1.40787108e-002
1.78945964e+001,-1.40314912e-002
1.79132755e+001,-1.39842716e-002
1.79319546e+001,-1.39370521e-002
1.79506338e+001,-1.38898325e-002
1.79693129e+001,-1.38426130e-002
1.79879920e+001,-1.37953934e-002
1.80066711e+001,-1.37481739e-002
1.80253502e+001,-1.37009543e-002
1.80440294e+001,-1.36537347e-002
1.80627085e+001,-1.36065152e-002
1.80813876e+001,-1.35592956e-002
1.81000667e+001,-1.35120761e-002
1.81187458e+001,-1.34648565e-002
1.81374249e+001,-1.34176369e-002
1.81561041e+001,-1.33704174e-002
1.81747832e+001,-1.33231978e-002
1.81934623e+001,-1.32759783e-002
1.82121414e+001,-1.32287587e-002
1.82308205e+001,-1.31815392e-002
1.82494997e+001,-1.31343196e-002
1.82681788e+001,-1.30871000e-002
1.82868579e+001,-1.30398805e-002
1.83055370e+001,-1.29926609e-002
1.83242161e+001,-1.29473557e-002
1.83428953e+001,-1.29027726e-002
1.83615744e+001,-1.28581895e-002
1.83802535e+001,-1.28136064e-002
1.83989326e+001,-1.27690233e-002
1.84176117e+001,-1.27244401e-002
1.84362909e+001,-1.26798570e-002
1.84549700e+001,-1.26352739e-002
1.84736491e+001,-1.25906908e-002
1.84923282e+001,-1.25461077e-002
1.85110073e+001,-1.25015246e-002
1.85296865e+001,-1.24569414e-002
1.85483656e+001,-1.24123583e-002
1.85670447e+001,-1.23677752e-002
1.85857238e+001,-1.23231921e-002
1.86044029e+001,-1.22786090e-002
1.86230821e+001,-1.22340258e-002
1.86417612e+001,-1.21894427e-002
1.86604403e+001,-1.21448596e-002
1.86791194e+001,-1.21002765e-002
1.86977985e+001,-1.20556934e-002
1.87164777e+001,-1.20111102e-002
1.87351568e+001,-1.19665271e-002
1.87538359e+001,-1.19219440e-002
1.87725150e+001,-1.18773609e-002
1.87911941e+001,-1.18327778e-002
1.88098732e+001,-1.17881947e-002
1.88285524e+001,-1.17436115e-002
1.88472315e+001,-1.16990284e-002
1.88659106e+001,-1.16544453e-002
1.88845897e+001,-1.16098622e-002
1.89032688e+001,-1.15652791e-002
1.89219480e+001,-1.15206959e-002
1.89406271e+001,-1.14761128e-002
1.89593062e+001,-1.14428688e-002
1.89779853e+001,-1.14128202e-002
1.89966644e+001,-1.13827716e-002
1.90153436e+001,-1.13524820e-002
1.90340227e+001,-1.13221240e-002
1.90527018e+001,-1.12917660e-002
1.90713809e+001,-1.12614080e-002
1.90900600e+001,-1.12310500e-002
1.91087392e+001,-1.12006921e-002
1.91274183e+001,-1.11703341e-002
1.91460974e+001,-1.11399761e-002
1.91647765e+001,-1.11096181e-002
1.91834556e+001,-1.10792601e-002
1.92021348e+001,-1.10489022e-002
1.92208139e+001,-1.10185442e-002
1.92394930e+001,-1.09881862e-002
1.92581721e+001,-1.09578282e-002
1.92768512e+001,-1.09274702e-002
1.92955304e+001,-1.08971123e-002
1.93142095e+001,-1.08667543e-002
1.93328886e+001,-1.08363963e-002
1.93515677e+001,-1.08060383e-002
1.93702468e+001,-1.07756804e-002
1.93889260e+001,-1.07453224e-002
1.94076051e+001,-1.07149644e-002
1.94262842e+001,-1.06846064e-002
1.94449633e+001,-1.06542484e-002
1.94636424e+001,-1.06238905e-002
1.94823215e+001,-1.05935325e-002
1.95010007e+001,-1.05631745e-002
1.95196798e+001,-1.05328165e-002
1.95383589e+001,-1.05024585e-002
1.95570380e+001,-1.04721006e-002
1.95757171e+001,-1.04417426e-002
1.95943963e+001,-1.04113846e-002
1.96130754e+001,-1.03810266e-002
1.96317545e+001,-1.03506686e-002
1.96504336e+001,-1.03203107e-002
1.96691127e+001,-1.02899527e-002
1.96877919e+001,-1.02595947e-002
1.97064710e+001,-1.02292367e-002
1.97251501e+001,-1.01988787e-002
1.97438292e+001,-1.01691994e-002
1.97625083e+001,-1.01430378e-002
1.97811875e+001,-1.01168762e-002
1.97998666e+001,-1.00907146e-002
1.98185457e+001,-1.00645531e-002
1.98372248e+001,-1.00383915e-002
1.98559039e+001,-1.00122299e-002
1.98745831e+001,-9.98606834e-003
1.98932622e+001,-9.95990677e-003
1.99119413e+001,-9.93374519e-003
1.99306204e+001,-9.90758362e-003
1.99492995e+001,-9.88142204e-003
1.99679787e+001,-9.85526047e-003
1.99866578e+001,-9.82909889e-003
2.00053369e+001,-9.80293732e-003
2.00240160e+001,-9.77677574e-003
2.00426951e+001,-9.75061417e-003
2.00613742e+001,-9.72445259e-003
2.00800534e+001,-9.69829102e-003
2.00987325e+001,-9.67212944e-003
2.01174116e+001,-9.64596787e-003
2.01360907e+001,-9.61980629e-003
2.01547698e+001,-9.59364472e-003
2.01734490e+001,-9.56748314e-003
2.01921281e+001,-9.54132157e-003
2.02108072e+001,-9.51515999e-003
2.02294863e+001,-9.48899842e-003
2.02481654e+001,-9.46283684e-003
2.02668446e+001,-9.43667527e-003
2.02855237e+001,-9.41051369e-003
2.03042028e+001,-9.38435212e-003
2.03228819e+001,-9.35819054e-003
2.03415610e+001,-9.33202897e-003
2.03602402e+001,-9.30586739e-003
2.03789193e+001,-9.27970582e-003
2.03975984e+001,-9.25354424e-003
2.04162775e+001,-9.22738267e-003
2.04349566e+001,-9.20122109e-003
2.04536358e+001,-9.17505952e-003
2.04723149e+001,-9.14889794e-003
2.04909940e+001,-9.12273637e-003
2.05096731e+001,-9.09657479e-003
2.05283522e+001,-9.07041322e-003
2.05470314e+001,-9.04425164e-003
2.05657105e+001,-9.01809007e-003
2.05843896e+001,-8.99192850e-003
2.06030687e+001,-8.96576692e-003
2.06217478e+001,-8.93960535e-003
2.06404270e+001,-8.91344377e-003
2.06591061e+001,-8.88728220e-003
2.06777852e+001,-8.86112062e-003
2.06964643e+001,-8.83495905e-003
2.07151434e+001,-8.80879747e-003
2.07338225e+001,-8.77938446e-003
2.07525017e+001,-8.74570002e-003
2.07711808e+001,-8.71201558e-003
2.07898599e+001,-8.67833114e-003
2.08085390e+001,-8.64464669e-003
2.08272181e+001,-8.62289619e-003
2.08458973e+001,-8.60481142e-003
2.08645764e+001,-8.58672664e-003
2.08832555e+001,-8.56864186e-003
2.09019346e+001,-8.55055708e-003
2.09206137e+001,-8.53247230e-003
2.09392929e+001,-8.51438753e-003
2.09579720e+001,-8.49245991e-003
2.09766511e+001,-8.46667154e-003
2.09953302e+001,-8.44088317e-003
2.10140093e+001,-8.41509480e-003
2.10326885e+001,-8.38930643e-003
2.10513676e+001,-8.36351806e-003
2.10700467e+001,-8.33772969e-003
2.10887258e+001,-8.31194132e-003
2.11074049e+001,-8.28615294e-003
2.11260841e+001,-8.26036457e-003
2.11447632e+001,-8.23457620e-003
2.11634423e+001,-8.20878783e-003
2.11821214e+001,-8.18299946e-003
2.12008005e+001,-8.15721109e-003
2.12194797e+001,-8.13142272e-003
2.12381588e+001,-8.10563435e-003
2.12568379e+001,-8.07984598e-003
2.12755170e+001,-8.05405761e-003
2.12941961e+001,-8.02826924e-003
2.13128753e+001,-8.00248086e-003
2.13315544e+001,-7.97669249e-003
2.13502335e+001,-7.95090412e-003
2.13689126e+001,-7.92511575e-003
2.13875917e+001,-7.89932738e-003
2.14062708e+001,-7.87353901e-003
2.14249500e+001,-7.84775064e-003
2.14436291e+001,-7.82196227e-003
2.14623082e+001,-7.79617390e-003
2.14809873e+001,-7.77038553e-003
2.14996664e+001,-7.74459716e-003
2.15183456e+001,-7.71880878e-003
2.15370247e+001,-7.69302041e-003
2.15557038e+001,-7.66723204e-003
2.15743829e+001,-7.64144367e-003
2.15930620e+001,-7.61585047e-003
2.16117412e+001,-7.59040020e-003
2.16304203e+001,-7.56494992e-003
2.16490994e+001,-7.53949965e-003
2.16677785e+001,-7.51404938e-003
2.16864576e+001,-7.48859911e-003
2.17051368e+001,-7.46314883e-003
2.17238159e+001,-7.43769856e-003
2.17424950e+001,-7.41224829e-003
2.17611741e+001,-7.38679802e-003
2.17798532e+001,-7.36134774e-003
2.17985324e+001,-7.33589747e-003
2.18172115e+001,-7.31044720e-003
2.18358906e+001,-7.28499693e-003
2.18545697e+001,-7.25954665e-003
2.18732488e+001,-7.23409638e-003
2.18919280e+001,-7.20864611e-003
2.19106071e+001,-7.18319584e-003
2.19292862e+001,-7.15774557e-003
2.19479653e+001,-7.13229529e-003
2.19666444e+001,-7.10684502e-003
2.19853235e+001,-7.08139475e-003
2.20040027e+001,-7.05594448e-003
2.20226818e+001,-7.03049420e-003
2.20413609e+001,-7.00504393e-003
2.20600400e+001,-6.97959366e-003
2.20787191e+001,-6.95414339e-003
2.20973983e+001,-6.92869311e-003
2.21160774e+001,-6.90324284e-003
2.21347565e+001,-6.87321436e-003
2.21534356e+001,-6.84313372e-003
2.21721147e+001,-6.81305308e-003
2.21907939e+001,-6.78297244e-003
2.22094730e+001,-6.75289180e-003
2.22281521e+001,-6.72281116e-003
2.22468312e+001,-6.69273052e-003
2.22655103e+001,-6.66264988e-003
2.22841895e+001,-6.63256924e-003
2.23028686e+001,-6.60248859e-003
2.23215477e+001,-6.57268085e-003
2.23402268e+001,-6.55235681e-003
2.23589059e+001,-6.53203276e-003
2.23775851e+001,-6.51170871e-003
2.23962642e+001,-6.49138467e-003
2.24149433e+001,-6.47106062e-003
2.24336224e+001,-6.45198011e-003
2.24523015e+001,-6.43611350e-003
2.24709807e+001,-6.42024690e-003
2.24896598e+001,-6.40438029e-003
2.25083389e+001,-6.38851369e-003
2.25270180e+001,-6.37264708e-003
2.25456971e+001,-6.35678048e-003
2.25643763e+001,-6.34091387e-003
2.25830554e+001,-6.32504727e-003
2.26017345e+001,-6.30918066e-003
2.26204136e+001,-6.29336831e-003
2.26390927e+001,-6.27772120e-003
2.26577718e+001,-6.26207409e-003
2.26764510e+001,-6.24642699e-003
2.26951301e+001,-6.23077988e-003
2.27138092e+001,-6.21513277e-003
2.27324883e+001,-6.19948567e-003
2.27511674e+001,-6.18383856e-003
2.27698466e+001,-6.16819145e-003
2.27885257e+001,-6.15254434e-003
2.28072048e+001,-6.13689724e-003
2.28258839e+001,-6.12125013e-003
2.28445630e+001,-6.10560302e-003
2.28632422e+001,-6.08995592e-003
2.28819213e+001,-6.07430881e-003
2.29006004e+001,-6.05866170e-003
2.29192795e+001,-6.04301459e-003
2.29379586e+001,-6.02736749e-003
2.29566378e+001,-6.01172038e-003
2.29753169e+001,-5.99607327e-003
2.29939960e+001,-5.98042617e-003
2.30126751e+001,-5.96477906e-003
2.30313542e+001,-5.94913195e-003
2.30500334e+001,-5.93348484e-003
2.30687125e+001,-5.91783774e-003
2.30873916e+001,-5.90219063e-003
2.31060707e+001,-5.88654352e-003
2.31247498e+001,-5.87089642e-003
2.31434290e+001,-5.85524931e-003
2.31621081e+001,-5.83960220e-003
2.31807872e+001,-5.82395509e-003
2.31994663e+001,-5.80830799e-003
2.32181454e+001,-5.79266088e-003
2.32368245e+001,-5.77701377e-003
2.32555037e+001,-5.76136667e-003
2.32741828e+001,-5.74571956e-003
2.32928619e+001,-5.73007245e-003
2.33115410e+001,-5.71442534e-003
2.33302201e+001,-5.69877824e-003
2.33488993e+001,-5.68313113e-003
2.33675784e+001,-5.66748402e-003
2.33862575e+001,-5.65183692e-003
2.34049366e+001,-5.63618981e-003
2.34236157e+001,-5.62054270e-003
2.34422949e+001,-5.60489559e-003
2.34609740e+001,-5.58924849e-003
2.34796531e+001,-5.57360138e-003
2.34983322e+001,-5.55795427e-003
2.35170113e+001,-5.54230717e-003
2.35356905e+001,-5.52666006e-003
2.35543696e+001,-5.51101295e-003
2.35730487e+001,-5.49536584e-003
2.35917278e+001,-5.47966107e-003
2.36104069e+001,-5.46344548e-003
2.36290861e+001,-5.44722989e-003
2.36477652e+001,-5.43101430e-003
2.36664443e+001,-5.41479871e-003
2.36851234e+001,-5.39858313e-003
2.37038025e+001,-5.38236754e-003
2.37224817e+001,-5.36615195e-003
2.37411608e+001,-5.34993636e-003
2.37598399e+001,-5.33372077e-003
2.37785190e+001,-5.31750518e-003
2.37971981e+001,-5.30128960e-003
2.38158773e+001,-5.28507401e-003
2.38345564e+001,-5.26885842e-003
2.38532355e+001,-5.25264283e-003
2.38719146e+001,-5.23642724e-003
2.38905937e+001,-5.22021165e-003
2.39092728e+001,-5.20399607e-003
2.39279520e+001,-5.18778048e-003
2.39466311e+001,-5.17156489e-003
2.39653102e+001,-5.15522387e-003
2.39839893e+001,-5.13693823e-003
2.40026684e+001,-5.11865259e-003
2.40213476e+001,-5.10036695e-003
2.40400267e+001,-5.08208131e-003
2.40587058e+001,-5.06379567e-003
2.40773849e+001,-5.04551003e-003
2.40960640e+001,-5.02722439e-003
2.41147432e+001,-5.00893875e-003
2.41334223e+001,-4.99065311e-003
2.41521014e+001,-4.97236747e-003
2.41707805e+001,-4.95408183e-003
2.41894596e+001,-4.93579619e-003
2.42081388e+001,-4.91751055e-003
2.42268179e+001,-4.89922491e-003
2.42454970e+001,-4.88093927e-003
2.42641761e+001,-4.86265363e-003
2.42828552e+001,-4.84627954e-003
2.43015344e+001,-4.83292201e-003
2.43202135e+001,-4.81956448e-003
2.43388926e+001,-4.80620695e-003
2.43575717e+001,-4.79284942e-003
2.43762508e+001,-4.77949190e-003
2.43949300e+001,-4.76613437e-003
2.44136091e+001,-4.75277684e-003
2.44322882e+001,-4.73941931e-003
2.44509673e+001,-4.72606178e-003
2.44696464e+001,-4.71270425e-003
2.44883256e+001,-4.69934672e-003
2.45070047e+001,-4.68598919e-003
2.45256838e+001,-4.67263166e-003
2.45443629e+001,-4.65927413e-003
2.45630420e+001,-4.64591660e-003
2.45817211e+001,-4.63255907e-003
2.46004003e+001,-4.61920154e-003
2.46190794e+001,-4.60584401e-003
2.46377585e+001,-4.59248648e-003
2.46564376e+001,-4.57904753e-003
2.46751167e+001,-4.56543982e-003
2.46937959e+001,-4.55183210e-003
2.47124750e+001,-4.53822439e-003
2.47311541e+001,-4.52461668e-003
2.47498332e+001,-4.51100897e-003
2.47685123e+001,-4.49740126e-003
2.47871915e+001,-4.48379355e-003
2.48058706e+001,-4.47018584e-003
2.48245497e+001,-4.45657813e-003
2.48432288e+001,-4.44297042e-003
2.48619079e+001,-4.42936271e-003
2.48805871e+001,-4.41575500e-003
2.48992662e+001,-4.40214729e-003
2.49179453e+001,-4.38853958e-003
2.49366244e+001,-4.37493187e-003
2.49553035e+001,-4.36132416e-003
2.49739827e+001,-4.34771645e-003
2.49926618e+001,-4.33410874e-003
2.50113409e+001,-4.32050103e-003
2.50300200e+001,-4.30689332e-003
2.50486991e+001,-4.29328561e-003
2.50673783e+001,-4.27967790e-003
2.50860574e+001,-4.26857916e-003
2.51047365e+001,-4.25836453e-003
2.51234156e+001,-4.24814989e-003
2.51420947e+001,-4.23793526e-003
2.51607738e+001,-4.22772063e-003
2.51794530e+001,-4.21750600e-003
2.51981321e+001,-4.20729136e-003
2.52168112e+001,-4.19707673e-003
2.52354903e+001,-4.18686210e-003
2.52541694e+001,-4.17664746e-003
2.52728486e+001,-4.16643283e-003
2.52915277e+001,-4.15621820e-003
2.53102068e+001,-4.14600356e-003
2.53288859e+001,-4.13578893e-003
2.53475650e+001,-4.12557430e-003
2.53662442e+001,-4.11535966e-003
2.53849233e+001,-4.10514503e-003
2.54036024e+001,-4.09493040e-003
2.54222815e+001,-4.08471577e-003
2.54409606e+001,-4.07450113e-003
2.54596398e+001,-4.06428650e-003
2.54783189e+001,-4.05407187e-003
2.54969980e+001,-4.04385723e-003
2.55156771e+001,-4.03364260e-003
2.55343562e+001,-4.02342797e-003
2.55530354e+001,-4.01321333e-003
2.55717145e+001,-4.00299870e-003
2.55903936e+001,-3.99278407e-003
2.56090727e+001,-3.98256943e-003
2.56277518e+001,-3.97137176e-003
2.56464310e+001,-3.96009781e-003
2.56651101e+001,-3.94882386e-003
2.56837892e+001,-3.93754991e-003
2.57024683e+001,-3.92627596e-003
2.57211474e+001,-3.91500201e-003
2.57398266e+001,-3.90372806e-003
2.57585057e+001,-3.89245411e-003
2.57771848e+001,-3.88118016e-003
2.57958639e+001,-3.86990621e-003
2.58145430e+001,-3.85863225e-003
2.58332221e+001,-3.84735830e-003
2.58519013e+001,-3.83608435e-003
2.58705804e+001,-3.82481040e-003
2.58892595e+001,-3.81353645e-003
2.59079386e+001,-3.80226250e-003
2.59266177e+001,-3.79098855e-003
2.59452969e+001,-3.77971460e-003
2.59639760e+001,-3.76844065e-003
2.59826551e+001,-3.75716670e-003
2.60013342e+001,-3.74589275e-003
2.60200133e+001,-3.73461880e-003
2.60386925e+001,-3.72334484e-003
2.60573716e+001,-3.71207089e-003
2.60760507e+001,-3.70079694e-003
2.60947298e+001,-3.68952299e-003
2.61134089e+001,-3.67824904e-003
2.61320881e+001,-3.66697509e-003
2.61507672e+001,-3.65570114e-003
2.61694463e+001,-3.64442719e-003
2.61881254e+001,-3.63315324e-003
2.62068045e+001,-3.62187929e-003
2.62254837e+001,-3.61060534e-003
2.62441628e+001,-3.59933139e-003
2.62628419e+001,-3.58805743e-003
2.62815210e+001,-3.57672520e-003
2.63002001e+001,-3.56482031e-003
2.63188793e+001,-3.55291542e-003
2.63375584e+001,-3.54101053e-003
2.63562375e+001,-3.52910564e-003
2.63749166e+001,-3.51720074e-003
2.63935957e+001,-3.50529585e-003
2.64122748e+001,-3.49339096e-003
2.64309540e+001,-3.48148607e-003
2.64496331e+001,-3.46958118e-003
2.64683122e+001,-3.45767628e-003
2.64869913e+001,-3.44577139e-003
2.65056704e+001,-3.43386650e-003
2.65243496e+001,-3.42196161e-003
2.65430287e+001,-3.41005672e-003
2.65617078e+001,-3.39815182e-003
2.65803869e+001,-3.38577349e-003
2.65990660e+001,-3.37296943e-003
2.66177452e+001,-3.36016538e-003
2.66364243e+001,-3.34736133e-003
2.66551034e+001,-3.33455727e-003
2.66737825e+001,-3.32175322e-003
2.66924616e+001,-3.30894917e-003
2.67111408e+001,-3.29614511e-003
2.67298199e+001,-3.28334106e-003
2.67484990e+001,-3.27053701e-003
2.67671781e+001,-3.25773296e-003
2.67858572e+001,-3.24492890e-003
2.68045364e+001,-3.23212485e-003
2.68232155e+001,-3.21932080e-003
2.68418946e+001,-3.20651674e-003
2.68605737e+001,-3.19371269e-003
2.68792528e+001,-3.18090864e-003
2.68979320e+001,-3.16810458e-003
2.69166111e+001,-3.15530053e-003
2.69352902e+001,-3.14249648e-003
2.69539693e+001,-3.12969242e-003
2.69726484e+001,-3.11863079e-003
2.69913276e+001,-3.10975340e-003
2.70100067e+001,-3.10087600e-003
2.70286858e+001,-3.09199861e-003
2.70473649e+001,-3.08312122e-003
2.70660440e+001,-3.07424383e-003
2.70847231e+001,-3.06536643e-003
2.71034023e+001,-3.05648904e-003
2.71220814e+001,-3.04761165e-003
2.71407605e+001,-3.03873426e-003
2.71594396e+001,-3.02985686e-003
2.71781187e+001,-3.02097947e-003
2.71967979e+001,-3.01210208e-003
2.72154770e+001,-3.00322469e-003
2.72341561e+001,-2.99434729e-003
2.72528352e+001,-2.98546990e-003
2.72715143e+001,-2.97659251e-003
2.72901935e+001,-2.96771512e-003
2.73088726e+001,-2.95883772e-003
2.73275517e+001,-2.94996033e-003
2.73462308e+001,-2.94167324e-003
2.73649099e+001,-2.93462339e-003
2.73835891e+001,-2.92757354e-003
2.74022682e+001,-2.92052368e-003
2.74209473e+001,-2.91347383e-003
2.74396264e+001,-2.90642398e-003
2.74583055e+001,-2.89937413e-003
2.74769847e+001,-2.89232428e-003
2.74956638e+001,-2.88527443e-003
2.75143429e+001,-2.87822458e-003
2.75330220e+001,-2.87117473e-003
2.75517011e+001,-2.86412488e-003
2.75703803e+001,-2.85707503e-003
2.75890594e+001,-2.85002518e-003
2.76077385e+001,-2.84297533e-003
2.76264176e+001,-2.83592548e-003
2.76450967e+001,-2.82887562e-003
2.76637759e+001,-2.82182577e-003
2.76824550e+001,-2.81477592e-003
2.77011341e+001,-2.80772607e-003
2.77198132e+001,-2.80067622e-003
2.77384923e+001,-2.79362637e-003
2.77571714e+001,-2.78657652e-003
2.77758506e+001,-2.77952667e-003
2.77945297e+001,-2.77247682e-003
2.78132088e+001,-2.76542697e-003
2.78318879e+001,-2.75837712e-003
